Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHAMPION,PLAYOFFS
3,2022 Connecticut Sun,36,201.4,31.9,69,0.462,6.4,18,0.354,25.5,50.9,0.5,15.7,19.9,0.789,10.2,26.9,37.1,21.1,8.9,2.7,14.4,17.1,85.8,0
4,2022 Dallas Wings,36,200.7,29.7,68.2,0.435,7.8,22.6,0.343,21.9,45.6,0.48,15.9,20.8,0.764,9.6,24.3,33.8,18.8,7.1,3.7,12.7,18.8,82.9,0
5,2022 Seattle Storm,36,200.7,30.4,68.8,0.442,9.3,25.6,0.361,21.2,43.2,0.49,12.4,15.1,0.825,7.8,25.8,33.6,22.6,8.3,4.2,12.8,15.6,82.5,0
6,2022 Minnesota Lynx,36,201.4,30.2,67.1,0.45,6.8,19.6,0.348,23.4,47.4,0.493,15.2,19.4,0.784,8.9,28,36.9,20.6,6.1,2.8,14.6,16.9,82.4,0
7,2022 Phoenix Mercury,36,202.1,28.6,66.5,0.429,8.8,26.7,0.329,19.8,39.8,0.497,15.2,18.6,0.817,6.8,24.3,31.2,19.2,7.4,4.5,13.3,19.8,81.1,0
8,2022 Washington Mystics,36,202.1,29.3,66.8,0.439,7.6,22.5,0.338,21.7,44.2,0.491,14,17.9,0.784,8,26.9,34.9,20.3,7.6,3.7,12.8,15.9,80.2,0
9,2022 New York Liberty,36,202.1,28.8,66.8,0.431,9.7,27.6,0.351,19.1,39.1,0.488,12.4,15,0.823,7,27.3,34.3,20.7,6.1,4.1,14.6,18.2,79.6,0
10,2022 Los Angeles Sparks,36,200.7,29.8,66.9,0.446,5.4,16.9,0.32,24.4,50,0.489,14.4,18.3,0.786,6.9,23.4,30.4,18.9,8.6,3.9,13.8,18.3,79.4,0
11,2022 Atlanta Dream,36,201.4,28.8,68.4,0.42,7.5,21.4,0.351,21.2,47,0.452,13.5,17.3,0.777,8.6,26.8,35.4,17.6,7.8,3.1,15.2,19.5,78.5,0
12,2022 Indiana Fever,36,201.4,28.4,69.4,0.409,6.8,20.1,0.338,21.6,49.3,0.437,14.4,19.4,0.746,9.8,23.5,33.3,18,7.2,3.6,15.1,20,78,0
