Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Las Vegas Aces*,40,200.0,33.6,69.2,.486,9.3,24.9,.372,24.3,44.3,.549,16.4,19.5,.840,6.2,28.7,34.8,21.7,8.0,4.8,11.1,16.0,92.8
2,New York Liberty*,40,201.9,32.2,69.9,.460,11.1,29.7,.374,21.1,40.3,.523,13.8,16.7,.829,8.7,29.2,37.9,24.1,6.7,4.5,13.5,16.0,89.2
3,Dallas Wings*,40,200.6,32.4,73.2,.443,6.8,21.3,.317,25.6,51.8,.494,16.4,20.3,.806,11.8,26.9,38.7,20.3,7.6,4.3,13.1,18.9,87.9
4,Connecticut Sun*,40,201.9,30.2,67.8,.445,7.2,20.0,.360,23.0,47.8,.481,15.2,19.9,.766,8.1,25.6,33.6,20.7,8.1,3.8,12.4,18.4,82.7
5,Atlanta Dream*,40,201.3,29.4,68.7,.428,6.4,19.2,.336,23.0,49.5,.464,17.3,22.0,.788,8.0,28.1,36.1,18.6,6.3,4.6,13.6,19.3,82.5
6,Chicago Sky*,40,201.3,30.7,69.6,.442,8.3,22.2,.372,22.5,47.4,.474,12.0,16.0,.752,8.6,24.8,33.3,20.5,6.7,4.5,13.5,17.3,81.7
7,Indiana Fever,40,201.9,30.2,68.3,.442,6.7,19.8,.340,23.5,48.5,.484,13.9,17.8,.783,8.9,25.1,34.0,18.0,6.5,3.0,14.1,19.7,81.0
8,Washington Mystics*,40,200.6,28.9,67.5,.428,7.8,23.1,.336,21.2,44.4,.476,15.0,18.2,.823,6.6,25.7,32.3,19.2,7.7,3.2,12.2,18.6,80.5
9,Minnesota Lynx*,40,201.3,29.4,67.5,.435,6.8,20.8,.325,22.6,46.7,.484,14.7,18.4,.801,8.0,26.3,34.3,19.4,6.4,2.6,13.4,16.9,80.2
10,Los Angeles Sparks,40,200.6,28.4,66.8,.425,6.5,19.5,.333,21.9,47.3,.463,15.6,19.1,.819,6.7,24.8,31.5,19.0,8.5,2.9,12.5,16.9,78.9
11,Seattle Storm,40,200.6,27.9,67.9,.410,8.5,24.2,.352,19.4,43.8,.442,14.6,18.6,.786,8.2,26.7,34.9,17.7,7.0,4.5,14.5,17.9,78.8
12,Phoenix Mercury,40,200.6,28.4,63.9,.444,6.8,20.7,.328,21.6,43.3,.500,13.0,16.2,.803,6.6,24.3,30.9,19.1,5.7,4.2,14.8,18.8,76.6
,League Average,40,201.0,30.1,68.3,.441,7.7,22.1,.347,22.5,46.2,.486,14.8,18.5,.800,8.0,26.3,34.3,19.8,7.1,3.9,13.2,17.9,82.7
